Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p5_5.txt	50	5	20	Optimal	659.8386650085449	A	635.0	1791.0	2426.0	1936.0	635.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p6_1.txt	50	5	3	Optimal	27.902257919311523	A	102.0	325.0	427.0	113.0	102.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p6_2.txt	50	5	5	Optimal	61.80189394950867	A	167.0	500.0	667.0	354.0	167.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p6_3.txt	50	5	10	Optimal	108.32787799835205	A	392.0	958.0	1350.0	132.0	392.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p6_4.txt	50	5	15	Optimal	164.45008492469788	A	540.0	1499.0	2039.0	209.0	540.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p6_5.txt	50	5	20	Optimal	865.1885569095612	A	666.0	1851.0	2517.0	309.0	666.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p7_1.txt	50	5	3	Optimal	21.140869855880737	A	102.0	294.0	396.0	53.0	102.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p7_2.txt	50	5	5	Optimal	23.8460750579834	A	164.0	408.0	572.0	68.0	164.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p7_3.txt	50	5	10	Optimal	23.927906036376953	A	394.0	923.0	1317.0	21.0	394.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p7_4.txt	50	5	15	Optimal	163.9624879360199	A	622.0	1261.0	1883.0	69.0	622.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p7_5.txt	50	5	20	Optimal	666.0362792015076	A	713.0	1842.0	2555.0	173.0	713.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p8_1.txt	50	5	3	Optimal	23.641913890838623	A	93.0	299.0	392.0	351.0	93.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p8_2.txt	50	5	5	Optimal	41.44432878494263	A	180.0	443.0	623.0	129.0	180.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p8_3.txt	50	5	10	Optimal	33.53795599937439	A	379.0	1120.0	1499.0	41.0	379.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p8_4.txt	50	5	15	Optimal	133.79456615447998	A	555.0	1449.0	2004.0	203.0	555.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p8_5.txt	50	5	20	Optimal	552.4586861133575	A	692.0	2010.0	2702.0	2291.0	692.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p9_1.txt	50	5	3	Optimal	26.00895881652832	A	89.0	263.0	352.0	472.0	89.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p9_2.txt	50	5	5	Optimal	48.46061897277832	A	151.0	578.0	729.0	171.0	151.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p9_3.txt	50	5	10	Optimal	164.90250301361084	A	416.0	854.0	1270.0	282.0	416.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p9_4.txt	50	5	15	Optimal	130.77044200897217	A	464.0	1449.0	1913.0	186.0	464.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p9_5.txt	50	5	20	Optimal	1147.4854218959808	A	664.0	1699.0	2363.0	873.0	664.0	0.0
